name,longitude,latitude,age,normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance,cu_mt
['San Antonio de Esquilache'],,-16.5,20.5,11.013442014053815,80.15619659423828,37.289879086880994,7.811196875100265,0.0
['Ares'],,-15.5,5.5,9.46498795393338,52.9202880859375,39.4781598180896,23.406768997344507,0.0
['Caylloma'],,-15.5,7.5,9.690377545378531,58.094862365722655,38.41970790688224,28.235293481455653,0.0
['San Salvador de Patillani'],,-15.5,9.5,11.075341996185356,68.26440658569337,31.662025976134125,28.322713100699605,0.44
['Shila'],,-15.5,10.5,11.028464489943577,70.51570892333984,34.2434117144952,25.86747932655132,0.0
['Poracota'],,-15.5,13.5,12.673459822942934,79.80234985351562,34.44450240837628,34.63103216570974,0.0
['Orcopampa'],,-15.5,14.5,12.244812511348892,80.37493743896485,36.66996590445141,32.90532547478869,0.0
['Berenguela'],,-15.5,22.5,9.546811112272817,82.22699127197265,34.01053131589141,3.1040638131264817,0.348916
['Cerro Hermoso'],,-15.5,23.5,9.49003805568934,82.57899284362793,32.00932468723294,1.850735826139286,0.015
['Arcata'],,-14.5,5.5,8.798078237792236,50.89691925048828,38.45366081888204,18.30980014313353,0.0
['San Juan de Lucanas'],,-14.5,9.5,10.619548938605174,62.22896499633789,35.31822843131672,23.26187453358691,0.0
['Yauricocha'],,-12.5,6.5,10.4927321000362,50.99883270263672,31.74653986931349,9.27083312547584,0.1792
['Julcani'],,-12.5,9.5,11.060935355766798,58.569417572021486,31.684314877010205,14.162263392705135,0.0
['Toromocho'],,-11.5,7.5,10.93259437507249,49.8629020690918,27.17408231833461,5.484290252200033,9.92072
['Chungar'],,-11.5,13.5,13.577516982994174,61.51314926147461,22.296361827371605,8.258773298109682,0.0424
['Raura'],,-10.5,8.5,11.131199787640274,51.03849563598633,24.02436678915173,1.6073303079231742,0.03625
['Marcapunta-Colquijirca'],,-10.5,11.5,13.04157360062232,59.11678466796875,21.798948771364003,3.798109076113264,1.5499999999999998
['Quicay II'],,-10.5,12.5,13.577516982994174,61.08019409179688,22.296361827371605,5.9768581491897566,3.5
['Cerro de Pasco'],,-10.5,14.5,13.491829067926512,63.1581657409668,24.183378362921697,10.647604704684774,1.5
['Antamina'],,-9.5,10.5,12.023933369040368,51.845262145996095,20.985506536696693,3.836144105584881,7.897
