normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance
-0.8640256024999999,-0.41789553,-3.504185845,-0.2609360445
-0.4367171205,-0.0434724394249999,-1.6406788875,-0.4116946729999999
-0.35116443575,-0.1564219845,-1.1928567449999996,0.0978763283749999
-0.897782,-0.10802295,-1.5218253,0.11819971775
-0.7376979615,-0.057752332425,-0.60196229375,-1.1045528475000002
-0.1139044769999999,-0.67090104325,-0.400209027,-1.1417991625
-0.6765156762500001,-0.7649139699999999,-0.93000980975,-0.6027324399999999
-2.692004195,-0.486414153,-0.7722995309999999,-0.0084818474249999
-2.428458345,-0.5573900362499999,0.28539257325,-2.70251118
-0.4563346,-0.6395129387499999,-0.4767980715,0.0504110365
-0.063425962,-0.68563848875,-0.283613895,0.019225610675
-0.5494925325000001,-0.77156849075,-0.9939740375,0.034371894625
-0.3566598924999999,-0.5364534445,-0.7114065075,0.08536480665
-0.3956597025,-0.800229365,-1.1774052175,-0.625927855
-0.5247622515,-0.12112016525,-3.311463635,0.16500998825
-0.7680734,-1.0498502475,-3.4285592525,-0.66659810825
-0.38444285775,-0.601718454,-0.5121663565,-0.412339572
-0.34163967,-0.386516918,-0.530441345,-0.1078376185
-0.320428195,-0.77467884425,-0.66698182,-0.39405854925
-0.8047887965,-1.299287485,-1.94755956,-0.4495938405
-2.4772129775,-0.5558328675,-0.9231232025,-2.7606625675
-2.8610659075,-2.569286935,-0.3185058207499999,-2.38380091
-0.78149058025,-2.93182834,-0.937686045,-0.51230725425
-0.89622962,-0.73982359925,-0.9233826175,-0.57953837
-0.1018773189,-0.3493192029999999,0.123733924875,-0.19559555
-0.63468182,-0.78745421875,-1.0841046425,-0.6816265125
-0.6980961575,-1.513882535,-0.46422782875,-0.0640231774999999
-0.2658065269999999,-2.2026941625,-0.6476100155000001,-0.2688183845
-0.87503304525,-0.801021585,-0.6259075350000001,-0.616891919
-2.08530304,-1.28424387,-0.8917538725,-0.7374584384999999
-2.8584849925,-1.69235092,-0.855235885,-0.83493257
-0.4484513914999999,-2.3511823675,0.229276913,-0.5552249575
-0.9335121825,-2.188842165,-0.5818788075,-0.8047361590000001
-2.5686689525,-2.1534562025,0.1540221065,-1.7748580824999998
-0.2569412625,-0.447650395,-0.4099249112499999,-0.5008313449999999
-2.7982280975,-2.362200675,-0.61735549,-0.12730675775
-2.8266576775,-2.4316518775,-0.816440375,-0.2517916404999999
-0.28496503625,-1.7520674175,-0.565236834,-0.42305458925
-2.8408911375,-2.3041994425,0.2569954055,-0.69546588425
-0.456937622,-0.42438397,-0.5653033009999999,-1.81441392
-0.7273410665,-0.7455312125,-3.4608402425,-1.4151325475
-0.45213340375,-2.1619884000000003,-3.434496395,-1.920499975
-0.7009684235,-1.08704256,-3.4447313125,-0.6457923664999999
-0.8336363,-0.867538714,-3.480052255,-1.4601022475
-0.7317833,-0.81061461625,-3.54532355,-1.435917735
-0.8706927,-0.8213113412499999,-3.522977985,-1.5150899575
-0.49618998825,-2.2602474475,-3.442714385,-1.26570621
-0.59241540775,-2.2680361275,-3.444843025,-1.2560822425
-0.778586495,-2.3589425425,-3.42515451,-0.61855281675
-0.516439749,-2.6371715575000003,-1.1631303125,-0.8419304299999999
-0.4190431094999999,-0.9521772425,-3.4209806325,-0.5998306
-0.82118202475,-0.79102480575,-3.48723501,-1.498760125
-0.63367863675,-0.989788224,-3.37275167,-0.22156269225
-0.6993463649999999,-0.8941699415,-3.45423758,-0.2220365722499999
-0.60194266,-0.8503795282500001,-1.6091459,-0.8032066567499999
0.0087338025,-0.2378590645,-0.1696426665,-0.6987083374999999
-0.3688278645,-0.705883964,-1.1274885275,-1.3571985
-0.3100431,-0.693712018,-1.1221055075000002,-0.431079909
-0.3805097677499999,-0.6256019740000001,-0.7771848175,-1.03003645
-2.7301024975000003,-0.6510548165000001,-0.4647967255,-0.73916626675
-1.215488095,-0.0794539611,-0.8800531662500001,-1.76064732
-2.7466929475,-0.5368047825000001,-0.52564046075,-0.47469745625
-0.2946447925,-0.6279533707499999,-0.67610956625,-1.294995905
-0.86751861975,-1.362408025,-0.77701830625,-1.437687985
-0.7699807949999999,-0.485924766,-0.578637055,-0.8392998685
-0.79738141625,-0.5222419175,-0.720911,-1.41608366
-2.12163362,-0.3561687565,-0.1171272942499999,-1.0955381549999998
-0.0952844754,0.004546619405,-0.4411928819999999,-1.3608524875
-0.41611692,-1.158663005,-1.0033340075,-1.468573065
-0.7611499174999999,0.157248306,-0.82992008975,-0.21631172075
-0.1841654132499999,0.0390859455,-0.53378260675,0.116104992
-0.18694431175,-0.82182204475,-0.5587676684999999,-1.8673997475
-0.7844265125,-1.51891442,-0.94441298075,-3.160958535
-0.1663754547499999,-1.2758034575,-0.4576607755,0.244577809
-0.2383590307499999,-2.172799935,0.11766254,0.1023518353499999
-3.024295225,-1.6243755375,0.19231699925,-0.5049653224999999
-1.646587485,-1.1402795875,-0.060448773,-2.8979867725
-0.9809203725,-0.52634122875,-1.015789,-1.9669044075
-0.276786915,-2.3108487525,-0.47445534525,0.1377910235
-0.4224195752499999,-1.840006805,-1.0953085875,-3.4379443675
-0.59975773225,-1.843107065,-0.86558749125,-3.474116595
-0.7569226,-0.5157329265,-0.7789148,0.218706787
-0.1660847859999999,-0.1470813992499999,-0.8434653275,-3.2094357725
-0.8394617985,-0.071784326125,-0.0125901277374999,-2.782997695
-0.2243938144999999,-0.61596683925,0.2287833225,-2.89803
-0.834276893,-0.57539516125,-1.298031165,-0.6557386575
-0.5996208085,-1.8168283925,-0.878546941,-3.4686983875
-0.70515412875,-0.59084077375,0.277202142,-3.01937954
-0.7614319334999999,-1.1490713,0.218533803,-3.4141168825
