normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance
0.3163421479999999,0.8976149607499999,-0.1086131446250001,0.7651440549999999
0.3296001499999998,-0.235177926,0.3188879,-0.331892602
0.3294925207499999,0.0259336828999997,-0.1004256288750004,0.7786079222499999
0.2568409525,0.8587394075,-0.15669797625,0.65305219375
0.3276610574999999,0.90444432625,0.7036027857499999,-0.3271349495000001
0.340715424,-0.16009724075,-0.12710688425,0.4750528967499999
0.2794578994999999,0.82764256,-0.1828228170000003,0.6702952184999998
0.265282103,0.8476409059999997,-0.1480216915,0.50149447
0.3163028635,-0.0509820091750001,-0.126504719,0.4873775684999999
0.22679450575,-0.28703839975,-0.08558394525,0.391300471
0.3163622929999999,-0.1933453092499999,0.1026036864999999,0.5051798289999999
0.2173490054999999,0.8334043524999999,-0.04670494915,-0.55202773175
0.33365351375,-0.026159473525,-0.1344788832500001,0.1978825114999999
0.3248394769999997,-0.1970400075,0.3401764739999999,0.3666877219999999
0.3304500507499999,-0.1107218079,-0.1042553995000001,0.7663881189999999
0.2564585335,0.8566019525,-0.166355974,0.4241519617499998
0.1834635294999997,-0.192913531,0.8128188574999999,-0.3947221887500001
0.20849078,-0.16814435875,0.0741879888999999,0.47844959125
0.2498876544999999,0.8801067,-0.157160636,0.41942020825
0.3268963824999999,0.5952026275,-0.12399074,0.4855619049999999
0.1832991734999998,-0.18850052375,0.32891293875,0.7162429952499999
0.0422748860249999,-0.312774999,0.339001027,-0.5886973500000001
0.2872528307499998,-0.18770205,-0.1124302591500001,-0.36481097
0.2018784684999999,-0.18219249275,0.8157103,-0.3475053180000003
0.2568328765,0.6667126199999998,-0.14800369425,0.5315858767499999
0.20849078,0.90534742,0.3306453682499999,-0.34835679725
0.0899122999999999,-0.250514646,0.265420106,0.6396078249999999
0.2372805929999998,0.841224609,-0.1724543325,0.628922415
0.3122807089999999,-0.169790979,-0.120623686375,-0.37060117925
0.2055164352499999,-0.2072907635,0.13009024,0.7969931834999998
0.1552708244999999,-0.17225711825,0.3264746382499999,0.7783822835
