roc_auc,precision,recall,f1_score
0.5715144230769231,0.31,0.96875,0.46969696969696967
0.5825320512820513,0.2903225806451613,0.84375,0.432
0.5342548076923077,0.2608695652173913,0.75,0.3870967741935483
0.6067708333333334,0.30392156862745096,0.96875,0.462686567164179
0.5789262820512819,0.30392156862745096,0.96875,0.462686567164179
0.6278044871794872,0.30097087378640774,0.96875,0.45925925925925926
0.671073717948718,0.3106796116504854,1.0,0.4740740740740741
0.5719150641025642,0.28,0.875,0.42424242424242425
0.5598958333333334,0.29896907216494845,0.90625,0.44961240310077516
0.5560897435897436,0.3,0.9375,0.45454545454545453
0.5817307692307692,0.2903225806451613,0.84375,0.432
0.6067708333333334,0.3125,0.9375,0.46875
0.5909455128205129,0.3,0.9375,0.45454545454545453
0.5823317307692307,0.30303030303030304,0.9375,0.45801526717557256
0.6153846153846154,0.297029702970297,0.9375,0.4511278195488721
0.5847355769230769,0.3125,0.9375,0.46875
0.5995592948717949,0.30392156862745096,0.96875,0.462686567164179
0.6400240384615384,0.3137254901960784,1.0,0.47761194029850745
0.5598958333333333,0.29,0.90625,0.4393939393939394
0.6025641025641026,0.27722772277227725,0.875,0.4210526315789474
0.6205929487179487,0.30927835051546393,0.9375,0.4651162790697675
0.5713141025641025,0.31313131313131315,0.96875,0.4732824427480916
0.5911458333333333,0.3,0.9375,0.45454545454545453
0.5951522435897436,0.29357798165137616,1.0,0.4539007092198582
0.6280048076923077,0.2980769230769231,0.96875,0.4558823529411764
0.5887419871794872,0.30392156862745096,0.96875,0.462686567164179
0.6143830128205129,0.31,0.96875,0.46969696969696967
0.5921474358974358,0.3,0.84375,0.44262295081967207
0.555088141025641,0.2708333333333333,0.8125,0.40625
0.563301282051282,0.28,0.875,0.42424242424242425
0.6127804487179487,0.2815533980582524,0.90625,0.42962962962962964
0.5825320512820513,0.3020833333333333,0.90625,0.453125
0.6097756410256411,0.30303030303030304,0.9375,0.45801526717557256
0.5328525641025642,0.29292929292929293,0.90625,0.44274809160305345
0.618389423076923,0.3069306930693069,0.96875,0.4661654135338346
0.5524839743589743,0.26804123711340205,0.8125,0.4031007751937985
0.625400641025641,0.32,1.0,0.48484848484848486
0.6001602564102564,0.32323232323232326,1.0,0.4885496183206107
