roc_auc,precision,recall,f1_score,roc_auc_std,precision_std,recall_std,f1_score_std
0.6205808080808082,0.5983666333666333,0.5977272727272728,0.5839348041019867,0.1503045067539083,0.106346154520663,0.1039398356735909,0.1026715993646362
0.5891414141414142,0.5364718614718614,0.5378787878787878,0.5328843620147967,0.1610204456583329,0.1203644213862464,0.120475984369987,0.1192876416696974
0.5156565656565657,0.54506993006993,0.5651515151515152,0.5506269382791122,0.1715771116266962,0.1727633084059706,0.1324653219689373,0.1538194410332003
0.5347222222222222,0.563685064935065,0.556060606060606,0.5478076271554533,0.1277475809729657,0.0713320555129351,0.0754311147751159,0.0719133011280054
0.5017676767676768,0.4974358974358974,0.4977272727272727,0.4964743083003952,0.1030463940692761,0.0484337187820209,0.0437561487217989,0.0458313878790653
0.5876262626262627,0.5985714285714285,0.5977272727272727,0.5926390276390278,0.111347888210591,0.0907058488765094,0.0983215429267128,0.0947557301820039
0.5641414141414142,0.5067628205128205,0.5045454545454545,0.4922987012987013,0.1397959362260865,0.1301912819209928,0.1211031707323656,0.1191066964000773
0.5930555555555556,0.5223809523809525,0.5212121212121212,0.5118007918007917,0.0726483157256778,0.0523167897071367,0.0416735531499244,0.0468274192910713
0.5532828282828283,0.5589239926739926,0.5371212121212121,0.5313638466796362,0.1107299476842268,0.1218698012373125,0.0974125776512706,0.10602549495401
0.5680555555555555,0.5366666666666665,0.5159090909090909,0.5077191327191326,0.1248764821832723,0.1582543662729229,0.1456516971965485,0.1424106652684407
0.6101010101010101,0.5555538905538906,0.5568181818181818,0.5483134691395561,0.0505012624842065,0.058706035576976,0.0559273600766416,0.0543680716625483
0.5767676767676768,0.5298963536463537,0.5151515151515151,0.5083425270381792,0.0192052053957894,0.0952167694914191,0.0925049324870585,0.0884742678306174
0.5708333333333334,0.5387445887445887,0.5159090909090909,0.4998870576734353,0.0974600266269379,0.0994500770996333,0.0724030018301234,0.0733812348782425
0.5893939393939394,0.55,0.5462121212121213,0.5398351648351649,0.1286898022277944,0.068549103508629,0.0670957267438925,0.0648128104505783
0.5219696969696971,0.5202242202242202,0.5227272727272727,0.5127932067932068,0.1615640698877886,0.1326256660235943,0.1235336397380235,0.1247868081060571
0.5426767676767676,0.55375,0.5401515151515152,0.5335206098249576,0.1045936306311978,0.0706664701255128,0.0616203012353417,0.0660472184271973
0.5904040404040403,0.5025000000000001,0.5128787878787879,0.4988598197293849,0.2202008618262553,0.1620956507744732,0.1648593467901009,0.1603772429167314
