name,longitude_trench,latitude_trench,longitude_arc,latitude_arc,age,ridge_trench_angle_Φ,ridge_convergence_angle_α,migration_rate
Iquique R.,-75.65614607549175,-16.367737060875417,-74.37336030607271,-14.607080647073667,8.0,7.118382983291937,46.49580075422677,9.031612291996234
Iquique R.,-76.38005521012707,-15.71635282509682,-75.05029449456094,-13.859986337749287,9.0,9.2582490910075,44.62497410947457,9.521073641966431
Iquique R.,-76.73014227055376,-15.396661026564312,-75.35007261938698,-13.501118961504352,10.0,9.67200777741354,44.32181372510994,9.610892429336545
Iquique R.,-77.10493525144699,-15.059693645463373,-75.67078869080872,-13.1078699125492,11.0,9.737108881721838,46.98699629146429,7.836423294191475
Iquique R.,-77.39174102016705,-14.81911985516312,-75.91131479290377,-12.82781357365864,12.0,10.239549918085814,43.31118072550088,8.17845775193753
Iquique R.,-77.66056675152976,-14.594254638870986,-76.14052320966688,-12.561404098199462,13.0,12.564731076475098,39.100459668716674,8.83369760603461
Iquique R.,-77.91434455823307,-14.396401779126776,-76.36834339222159,-12.294134991141798,14.0,13.203528865442522,38.61017979501737,9.81696865211091
Iquique R.,-78.13763244820828,-14.1929006877486,-76.56451149845809,-12.07100409353485,15.0,13.927815942438173,41.68440466982465,10.198458031847046
Iquique R.,-78.94165646965274,-13.037317325423356,-77.30067357532829,-10.80439591400892,16.0,18.694657404463527,46.25775707838077,11.326002075295436
Iquique R.,-79.7762946811223,-11.796548205558809,-78.01111004930587,-9.505965361705526,17.0,20.602598069448604,47.00831382098151,11.542481472672254
Iquique R.,-80.51159205294279,-10.465478368902415,-78.64933219193331,-8.172972030785045,18.0,23.070599314760244,49.53386462918671,11.347780051620898
Iquique R.,-81.29720274808497,-8.964523829597214,-79.28417159444008,-6.351919879152059,19.0,27.23517509866302,52.956088290014144,11.940557379689468
Iquique R.,-81.88703058620167,-7.579889572104238,-78.678328696296,-2.8994383609029963,20.0,32.456674024103954,55.51743777481903,13.74727062796553
Iquique R.,-82.25095153010102,-6.04904114824543,-78.5306003667147,-1.732514453919392,21.0,38.86771832696825,59.90408529707603,15.21113047484673
Iquique R.,-82.15002732198738,-5.379826188327208,-78.88960924269067,-3.864922692839395,22.0,28.99372735698293,50.50721845783132,11.290655419524173
Iquique R.,-82.0983233307333,-5.038790692105698,-79.03465153107582,-4.639516857336506,23.0,32.00371758922998,25.16442024772768,6.395717410006729
Iquique R.,-82.17305343735899,-5.469462345080021,-79.11707959647654,-5.114688263746759,24.0,2.200957500587037,3.5712803251411795,0.8380190957280391
Iquique R.,-82.2523058842868,-5.909509519591362,-79.20428194713864,-5.598691763000699,25.0,5.499857090233647,2.0768779928813808,0.4881836202120306
Iquique R.,-82.2945257522978,-6.348641985084599,-79.28851172314668,-6.047031208484246,26.0,5.400973984914501,2.3039314596913303,0.5553796924095651
Iquique R.,-82.187848618393,-6.718228648269952,-79.288512,-6.047031,27.0,5.766095354630721,9.870438799857398,1.9771481719621335
Taltal R.,-71.43792817824678,-25.07773399182107,-68.34824657162075,-24.267829200311542,0.0,21.038251625493476,5.491457748868414,0.9292518344333632
Taltal R.,-71.47726153507615,-24.924235458048063,-68.39713979352656,-24.14503978799421,1.0,20.357814150570064,6.168652442730541,1.0622839879744628
Taltal R.,-71.50669904172273,-24.66899974834419,-68.43523781561645,-23.82741681847237,2.0,21.306373503214743,4.845176694396476,0.8575378046840509
Taltal R.,-71.53578191259567,-24.31750534959256,-68.45934758443,-23.240108828129,3.0,24.109167944342488,0.6584538477869727,0.1187233333642801
Taltal R.,-71.57470232804582,-23.98105941752264,-68.48305569816233,-22.16573852190781,4.0,34.66244658718527,10.803227225871582,2.1032949575714994
Taltal R.,-71.62282453003536,-23.70869777900129,-68.56058870874283,-21.306105481954425,5.0,41.4765620447524,18.915035305038213,3.982517685191639
Taltal R.,-71.6953012483362,-23.82720075378996,-68.63657058371408,-21.871833190697668,6.0,35.72128752053974,17.937975398352773,3.810307259386872
Taltal R.,-71.7513796877114,-23.63960984634033,-68.71168595785937,-22.742766663191816,7.0,19.44046403116586,9.55813402794258,2.129037579953306
Taltal R.,-71.81222889145059,-23.514033395190232,-68.79496726288211,-23.14363656900191,8.0,9.942274418367674,1.5135788156333925,0.3326429476794376
Taltal R.,-71.8793896255706,-23.50567989935128,-68.87342663960007,-23.36401561470681,9.0,5.636557565722157,8.62546909138328,2.041993039418558
Taltal R.,-71.95904878748038,-23.82132123488461,-68.95742883294456,-23.77821357528206,10.0,3.8377248277145526,10.833174070923464,2.60033243159772
Taltal R.,-72.03648969624314,-24.152467259514683,-69.04143540199232,-24.30429910827184,11.0,0.6606618341634629,11.246513700546554,2.055065465263251
Taltal R.,-72.10983644349034,-24.436391547846675,-69.11158172859102,-24.49870342608436,12.0,1.8738065349862296,12.980126410636592,2.5984407051819605
Taltal R.,-72.17972921120365,-24.69525139477409,-69.17920721216267,-24.650303962506094,13.0,3.999451386944898,14.855129114351229,3.418173976023255
Taltal R.,-72.2414336309895,-24.966331044003244,-69.24044298534939,-24.52291327185169,14.0,12.043470782656584,8.275345521934007,2.240954764235985
Taltal R.,-72.30225616862171,-25.071602436157274,-69.30514448485533,-24.53803027632182,15.0,13.666493876398365,4.410704196340058,1.2350720133780413
Taltal R.,-72.39343410247308,-22.552742697164927,-69.96976748813792,-19.937363964478063,16.0,40.03030353151617,35.14777638552684,12.221164960616887
Taltal R.,-72.70200852202731,-20.571016176577885,-71.18370897836459,-18.46377728639007,17.0,26.83765102215107,43.931534938618256,12.534727418747224
