roc_auc,precision,recall,f1_score
0.6618589743589745,0.35555555555555557,1.0,0.5245901639344263
0.6798878205128206,0.32978723404255317,0.96875,0.492063492063492
0.6690705128205129,0.3258426966292135,0.90625,0.4793388429752066
0.6302083333333333,0.32978723404255317,0.96875,0.492063492063492
0.6392227564102564,0.3516483516483517,1.0,0.5203252032520326
0.6720753205128205,0.32954545454545453,0.90625,0.48333333333333334
0.6860977564102564,0.3404255319148936,1.0,0.5079365079365079
0.6506410256410257,0.34408602150537637,1.0,0.512
0.6754807692307692,0.33695652173913043,0.96875,0.5
0.6239983974358975,0.34782608695652173,1.0,0.5161290322580645
0.6678685897435898,0.3333333333333333,1.0,0.5
0.6872996794871795,0.34444444444444444,0.96875,0.5081967213114753
0.674278846153846,0.3516483516483517,1.0,0.5203252032520326
0.6864983974358975,0.32989690721649484,1.0,0.49612403100775193
0.7129407051282051,0.3404255319148936,1.0,0.5079365079365079
0.6925080128205129,0.32608695652173914,0.9375,0.48387096774193544
0.6530448717948718,0.34408602150537637,1.0,0.512
0.6953125,0.3516483516483517,1.0,0.5203252032520326
0.6682692307692307,0.32978723404255317,0.96875,0.492063492063492
0.6296073717948718,0.3333333333333333,0.96875,0.496
0.6832932692307692,0.34408602150537637,1.0,0.512
0.6376201923076923,0.35555555555555557,1.0,0.5245901639344263
0.6684695512820513,0.3516483516483517,1.0,0.5203252032520326
0.671875,0.3368421052631579,1.0,0.5039370078740157
0.6231971153846154,0.35555555555555557,1.0,0.5245901639344263
0.6642628205128205,0.3368421052631579,1.0,0.5039370078740157
0.6780849358974359,0.34065934065934067,0.96875,0.5040650406504065
0.616786858974359,0.3411764705882353,0.90625,0.4957264957264957
0.671073717948718,0.3333333333333333,0.96875,0.496
0.6566506410256411,0.34782608695652173,1.0,0.5161290322580645
0.6846955128205128,0.34782608695652173,1.0,0.5161290322580645
0.6582532051282051,0.3333333333333333,1.0,0.5
0.6352163461538461,0.34444444444444444,0.96875,0.5081967213114753
