roc_auc,precision,recall,f1_score
0.5671073717948718,0.3,0.9375,0.45454545454545453
0.5464743589743589,0.29473684210526313,0.875,0.4409448818897637
0.5020032051282052,0.29896907216494845,0.90625,0.44961240310077516
0.6021634615384616,0.3069306930693069,0.96875,0.4661654135338346
0.5747195512820513,0.2897196261682243,0.96875,0.44604316546762585
0.6129807692307693,0.3106796116504854,1.0,0.4740740740740741
0.6035657051282052,0.3076923076923077,1.0,0.47058823529411764
0.5991586538461539,0.31,0.96875,0.46969696969696967
0.515625,0.3069306930693069,0.96875,0.4661654135338346
0.5314503205128205,0.31958762886597936,0.96875,0.48062015503875966
0.5909455128205129,0.2857142857142857,0.9375,0.43795620437956206
0.6121794871794872,0.31313131313131315,0.96875,0.4732824427480916
0.5564903846153846,0.30392156862745096,0.96875,0.462686567164179
0.5500801282051282,0.3125,0.9375,0.46875
0.5903445512820513,0.31313131313131315,0.96875,0.4732824427480916
0.5973557692307693,0.32,1.0,0.48484848484848486
0.6021634615384615,0.3163265306122449,0.96875,0.476923076923077
0.6346153846153846,0.3069306930693069,0.96875,0.4661654135338346
0.5582932692307692,0.2871287128712871,0.90625,0.43609022556390975
0.6009615384615385,0.29,0.90625,0.4393939393939394
0.6294070512820512,0.29,0.90625,0.4393939393939394
0.5306490384615384,0.31313131313131315,0.96875,0.4732824427480916
0.6061698717948718,0.3069306930693069,0.96875,0.4661654135338346
0.6077724358974359,0.3069306930693069,0.96875,0.4661654135338346
0.5889423076923077,0.31,0.96875,0.46969696969696967
0.553485576923077,0.29896907216494845,0.90625,0.44961240310077516
0.5963541666666667,0.3125,0.9375,0.46875
0.571113782051282,0.2872340425531915,0.84375,0.42857142857142866
0.5723157051282052,0.31,0.96875,0.46969696969696967
0.5562900641025641,0.30392156862745096,0.96875,0.462686567164179
0.5657051282051282,0.3069306930693069,0.96875,0.4661654135338346
0.5837339743589743,0.30526315789473685,0.90625,0.4566929133858268
0.5737179487179487,0.29591836734693877,0.90625,0.4461538461538461
0.5462740384615384,0.28865979381443296,0.875,0.434108527131783
0.6051682692307692,0.30392156862745096,0.96875,0.462686567164179
0.5034054487179487,0.27450980392156865,0.875,0.4179104477611941
0.6209935897435898,0.3229166666666667,0.96875,0.48437500000000006
0.6458333333333333,0.31,0.96875,0.46969696969696967
0.5745192307692308,0.3,0.9375,0.45454545454545453
0.5751201923076923,0.32323232323232326,1.0,0.4885496183206107
0.6015625,0.2980769230769231,0.96875,0.4558823529411764
0.5434695512820513,0.3020833333333333,0.90625,0.453125
0.5843349358974359,0.29292929292929293,0.90625,0.44274809160305345
0.5747195512820513,0.3076923076923077,1.0,0.47058823529411764
0.5044070512820513,0.2871287128712871,0.90625,0.43609022556390975
0.59375,0.30303030303030304,0.9375,0.45801526717557256
0.5947516025641025,0.3163265306122449,0.96875,0.476923076923077
0.5506810897435898,0.31,0.96875,0.46969696969696967
0.6161858974358975,0.30927835051546393,0.9375,0.4651162790697675
0.6063701923076923,0.3047619047619048,1.0,0.4671532846715329
