name,longitude,latitude,age,normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance,cu_mt
['El  Teniente'],,-34.5,5.5,7.469447781545905,38.012882232666016,37.9047942660408,1.184833178092576,128.5322
"['La Huifa', 'Escalones']",,-34.5,6.5,10.55528044835113,42.875526428222656,26.183194110506143,6.439269735544006,4.924
['Rosario de Rengo'],,-34.5,7.5,10.67460599165037,44.67053985595703,28.51799588028394,0.0069197289378055,3.0
['Los Sulfatos'],,-33.5,4.5,8.524085902019186,40.28921508789063,25.40667530828236,0.6847620977830461,17.52
"['Los  Bronces/Rio  Blanco', 'Los Bronces Sur']",,-33.5,5.5,9.021567856023529,41.19413375854492,23.304473127535594,3.0340130553483,211.59
['Lagunillas'],,-32.5,9.5,12.976183056143352,56.263973236083984,18.94364948267136,2.9709764976113138,4.05
"['Diente Verde', 'Vizcachitas']",,-32.5,11.5,9.903728692351589,61.544918060302734,16.012616949119263,1.814914757271752,5.1146400000000005
['Paramillos  Sur'],,-32.5,13.5,14.374688381200862,61.95050811767578,15.240407842725348,0.5619024739712425,0.9911
['Paramillos  Norte'],,-32.5,15.5,16.862606192791322,61.31417083740234,8.227310301091961,54.81359282949196,1.0788
['El Pachon'],,-31.5,8.5,12.750687323973995,59.42267990112305,18.52596225330141,0.8539130581079479,8.690000000000001
['Los  Pelambres'],,-31.5,9.5,12.976183056143352,62.59035873413086,18.94364948267136,0.7990947043519341,46.01586
['Altar'],,-31.5,11.5,9.944027886206667,63.88510894775391,15.980414201332366,0.4517565156808172,3.4825
['Los  Azules'],,-30.5,7.5,11.63438832917175,57.80574035644531,18.44167873827449,0.0003281848416352,4.6176
['Arroyo  Chita'],,-30.5,11.5,10.401603604294904,64.36754608154297,23.3892868053842,4.272498323570066,1.9812000000000003
['Famatina'],,-29.5,3.5,7.976191565418258,45.22171401977539,31.27185096759373,0.8808421792867472,0.0
['Nevados  de  Famatina'],,-29.5,4.5,8.030558136658456,47.74991989135742,30.595068944818458,4.119163767259827,1.2
"['El Indio', 'Sancarrón']",,-29.5,6.5,10.289618095189116,55.16969108581543,21.721149158818434,4.8420467729097325,0.0
"['El Tambo', 'Lama', 'Pascua']",,-29.5,8.5,12.115458119481424,63.978153228759766,22.327180655817404,1.5361410727572211,0.0
['Veladero'],,-29.5,11.5,10.44892152266361,66.625732421875,23.37533744878492,8.876236138781206,0.0
['Los Helados'],,-28.5,13.5,11.821218585471463,68.07984924316406,25.571068983057742,6.509495473375085,6.06
['Filo del Sol'],,-28.5,17.5,15.72528253184366,63.86513900756836,14.584793167039848,64.1769067829883,1.01049
['Caserones'],,-28.5,18.5,15.653327511247602,77.38993835449219,12.446493799836873,34.42308423392447,4.455
['Josemaria'],,-28.5,24.5,9.480080869596042,70.63956451416016,17.62473048693839,6.291699332448663,2.9232
"['Capillitas', 'Agua  Rica', 'Filo  Colorado']",,-27.5,5.5,9.09150970065281,56.65840657552084,22.951773148202324,5.818581789500027,6.574579999999999
['Farallón Negro'],,-27.5,6.5,11.681175298204332,60.82488632202149,13.729165180257922,8.355633022322136,0.0
"['Bajo  de  la  Alumbrera', 'Bajo  de  San  Lucas']",,-27.5,7.5,11.681175298204332,60.82488632202149,13.729165180257922,8.672449192461869,4.6218
"['Bajo  El  Durazno', 'Cerro Atajo']",,-27.5,8.5,12.45116179739016,69.79989242553711,15.98385437817845,1.262860599653395,0.485
['El Volcán'],,-27.5,10.5,10.13385063670584,71.26673126220703,14.64026814058522,2.014929359742037,0.0
['Lobo'],,-27.5,12.5,12.297921600783452,69.49606323242188,21.304660192192927,2.038788158272971,0.7424
"['Cerro  Casale', 'Maricunga']",,-27.5,13.5,13.919067962046585,67.13286590576172,22.91260942166388,1.541627533534233,4.4975
['Cerro Maricunga'],,-27.5,15.5,16.00701913822831,70.43994140625,15.690454027421168,14.00322984332284,0.0
"['Pancho', 'Verde', 'La Pepa', 'Caspiche-Santa Cecilia']",,-27.5,23.5,11.58258289967628,70.4330005645752,5.778416810352347,11.407919221853378,3.953802
['Betito'],,-26.5,13.5,14.238062383670105,71.11674499511719,20.22810185405737,2.988691800854564,0.0117234
['La Coipa'],,-26.5,18.5,15.839151340650462,73.08914184570312,10.437897387602618,34.066720254319655,0.0
['Diablillos'],,-25.5,6.5,9.613971075976266,60.42398071289063,17.993088913345332,3.0911139651069908,0.0
['Inca  Viejo'],,-25.5,15.5,14.913166576941586,75.47478485107422,17.124250350970797,0.096826637019167,0.225
['Pancho  Arias'],,-24.5,15.5,15.006324459467688,82.75333404541016,15.24405741325107,0.9949770228070218,0.45
['Choquelimpie'],,-18.5,6.5,11.352404626211014,70.32803344726562,20.439009174899084,10.96371288495614,0.0
['Dos  Hermanos'],,-18.5,13.5,15.100111378540284,74.5238037109375,9.902242380306731,14.96135586067568,0.05
['Tucari'],,-16.5,4.5,8.592204149885262,61.52031326293945,17.823989850418002,28.429990154110914,0.0
['Santa Rosa'],,-16.5,7.5,10.45552891321589,63.4559440612793,30.330915257972208,14.923722783669287,0.0
['San Antonio de Esquilache'],,-16.5,20.5,13.145406052986566,79.65765380859375,34.91730723653471,30.0064561578691,0.0
['Ares'],,-15.5,5.5,7.890714138779842,49.037017822265625,36.59438056403472,4.025807308537472,0.0
['Caylloma'],,-15.5,7.5,9.397216911500314,53.0955924987793,40.64892221176972,16.261116511641163,0.0
['San Salvador de Patillani'],,-15.5,9.5,11.452560569582902,59.38197326660156,33.27815898152334,21.313159926863527,0.44
['Shila'],,-15.5,10.5,8.097913863456913,60.63481140136719,40.07685073501942,19.310478134609,0.0
['Poracota'],,-15.5,13.5,13.245138019426712,78.02571868896484,30.345701052502072,16.951128471946813,0.0
['Orcopampa'],,-15.5,14.5,12.789912393150315,77.03070068359375,32.51732665739537,18.86826388477288,0.0
['Berenguela'],,-15.5,22.5,9.773903338606727,80.81898498535156,42.01535783052527,12.849082884767004,0.348916
['Cerro Hermoso'],,-15.5,23.5,10.112770321338632,81.39342498779297,29.98391485917808,3.120098214579177,0.015
['Arcata'],,-14.5,5.5,7.504567556092704,48.41609573364258,32.367132607704164,2.143701896036492,0.0
['San Juan de Lucanas'],,-14.5,9.5,10.761544190211286,56.44987869262695,37.74758700632798,17.610168537591328,0.0
['Yauricocha'],,-12.5,6.5,9.934339350409934,47.34552001953125,34.39917164068806,7.063460795795783,0.1792
['Julcani'],,-12.5,9.5,11.2701197074526,52.91904067993164,33.7857059596522,6.351188455524331,0.0
['Toromocho'],,-11.5,7.5,10.42042269015727,46.59956359863281,29.834162972015584,11.711225939816426,9.92072
['Chungar'],,-11.5,13.5,12.894907868610304,57.51359176635742,19.53751583174125,2.6134804790203647,0.0424
['Raura'],,-10.5,8.5,11.015774922263011,47.34565734863281,25.579385599721704,14.819614310681764,0.03625
['Marcapunta-Colquijirca'],,-10.5,11.5,10.726659365027755,54.79119110107422,23.77819327281012,4.952810734463288,1.5499999999999998
['Quicay II'],,-10.5,12.5,12.894907868610304,57.51359176635742,19.53751583174125,4.607175817020606,3.5
['Cerro de Pasco'],,-10.5,14.5,14.489988127910404,59.760009765625,18.502858062892088,3.973882276623769,1.5
['Antamina'],,-9.5,10.5,12.208248908713758,45.01044464111328,23.243459896029748,15.918302888095434,7.897
['Pierina'],,-9.5,14.5,14.582244339313643,57.52531433105469,16.565559227366705,10.22360618328591,0.0
['El Aguila'],,-8.5,4.5,8.001011492694985,37.26357650756836,13.988719803546587,16.541790296354364,0.289
['Alto  Dorado'],,-8.5,9.5,12.48987558009091,29.065460205078125,18.066114352131976,24.81861358964764,0.051
['Pashpap'],,-8.5,14.5,13.669483838583208,58.22882843017578,18.2272005313284,14.265648720277254,0.6372
['Magistral'],,-8.5,15.5,13.669483838583208,58.22882843017578,18.2272005313284,17.19310061595424,1.85742
"['Colpayoc', 'Salpo-Milluachaqui']",,-7.5,14.5,14.351132042009272,46.78203582763672,12.493040136810649,19.7055861849154,0.0
"['Algamarca', 'Shahuindo']",,-7.5,15.5,13.325344534857232,39.18828201293945,19.582215873570973,18.8604550887502,0.03
"['La Virgen', 'Alto Chicama', 'El  Galeno']",,-7.5,16.5,13.319961354535147,49.48926544189453,20.30714682803628,14.04122574231658,4.09062
"['El Toro', 'Pachagón']",,-7.5,18.5,12.37703835504119,41.9407844543457,23.948326594790515,7.113943941393038,0.5
['Michiquillay'],,-7.5,19.5,13.155529809001544,44.85799407958984,22.71087143658244,0.0678500730002286,6.3
['La Arena'],,-7.5,25.5,13.05410118029722,67.92560577392578,13.284491532593163,24.4771653769186,2.636364
['Yanacocha'],,-6.5,9.5,12.603379036083656,28.948686599731445,15.813605540254189,32.52568857777341,0.0
['Sipán'],,-6.5,11.5,9.861722560174057,28.836917877197266,18.319163014458454,0.0,0.0
['Tantahuatay'],,-6.5,12.5,11.386421554671829,31.70908164978028,11.077875675478936,0.0,2.9625
"['Cerro  Corona', 'La Granja']",,-6.5,13.5,14.246044879812814,35.7343864440918,6.364707203048916,12.3757365796494,20.15
['Cañariaco'],,-6.5,14.5,13.874270799304115,37.365482330322266,9.958712839302564,28.085548871512447,4.012
"['La Zanja', 'Minas  Conga']",,-6.5,15.5,13.381644760800356,38.81345748901367,16.267997015843704,23.3276752382142,2.2182
