roc_auc,precision,recall,f1_score
0.6772836538461539,0.3625,0.90625,0.5178571428571428
0.6933092948717949,0.35714285714285715,0.9375,0.5172413793103449
0.6734775641025641,0.3375,0.84375,0.4821428571428572
0.6596554487179487,0.34523809523809523,0.90625,0.4999999999999999
0.6614583333333333,0.35294117647058826,0.9375,0.5128205128205129
0.6662660256410257,0.358974358974359,0.875,0.509090909090909
0.7163461538461539,0.3614457831325301,0.9375,0.5217391304347826
0.6953125,0.36585365853658536,0.9375,0.5263157894736842
0.6596554487179487,0.35714285714285715,0.9375,0.5172413793103449
0.6215945512820513,0.36363636363636365,0.875,0.5137614678899082
0.6818910256410257,0.32941176470588235,0.875,0.4786324786324786
0.6963141025641025,0.35443037974683544,0.875,0.5045045045045045
0.6692708333333334,0.3924050632911392,0.96875,0.5585585585585585
0.7093349358974359,0.36585365853658536,0.9375,0.5263157894736842
0.7231570512820513,0.38961038961038963,0.9375,0.5504587155963303
0.7163461538461539,0.3625,0.90625,0.5178571428571428
0.6716746794871795,0.36470588235294116,0.96875,0.5299145299145298
0.6931089743589745,0.3780487804878049,0.96875,0.543859649122807
0.6826923076923077,0.3614457831325301,0.9375,0.5217391304347826
0.6292067307692308,0.35064935064935066,0.84375,0.4954128440366973
0.7047275641025641,0.38271604938271603,0.96875,0.5486725663716814
0.6504407051282052,0.3493975903614458,0.90625,0.5043478260869566
0.6626602564102564,0.3614457831325301,0.9375,0.5217391304347826
0.6963141025641025,0.3563218390804598,0.96875,0.5210084033613446
0.642227564102564,0.35802469135802467,0.90625,0.5132743362831858
0.6913060897435898,0.3333333333333333,0.90625,0.48739495798319327
0.6796875000000001,0.35443037974683544,0.875,0.5045045045045045
0.6165865384615384,0.35064935064935066,0.84375,0.4954128440366973
0.6666666666666666,0.345679012345679,0.875,0.4955752212389381
0.657051282051282,0.345679012345679,0.875,0.4955752212389381
0.6967147435897436,0.35365853658536583,0.90625,0.5087719298245614
0.6364182692307693,0.3333333333333333,0.875,0.48275862068965514
0.6586538461538461,0.35365853658536583,0.90625,0.5087719298245614
0.5418669871794872,0.2987012987012987,0.71875,0.4220183486238532
0.6812900641025641,0.34523809523809523,0.90625,0.4999999999999999
0.6528445512820512,0.35365853658536583,0.90625,0.5087719298245614
0.6816907051282051,0.35714285714285715,0.9375,0.5172413793103449
0.6929086538461539,0.36585365853658536,0.9375,0.5263157894736842
0.6548477564102564,0.35443037974683544,0.875,0.5045045045045045
0.6897035256410255,0.35802469135802467,0.90625,0.5132743362831858
0.7263621794871794,0.37349397590361444,0.96875,0.5391304347826087
0.625,0.32558139534883723,0.875,0.47457627118644063
0.6630608974358974,0.3409090909090909,0.9375,0.5
0.6630608974358974,0.3563218390804598,0.96875,0.5210084033613446
0.6840945512820513,0.3625,0.90625,0.5178571428571428
0.6514423076923077,0.3493975903614458,0.90625,0.5043478260869566
0.6588541666666666,0.35714285714285715,0.9375,0.5172413793103449
0.6927083333333334,0.3670886075949367,0.90625,0.5225225225225225
0.7071314102564102,0.35714285714285715,0.9375,0.5172413793103449
0.6750801282051282,0.3614457831325301,0.9375,0.5217391304347826
0.7155448717948718,0.3780487804878049,0.96875,0.543859649122807
0.7169471153846154,0.36585365853658536,0.9375,0.5263157894736842
0.6628605769230769,0.35443037974683544,0.875,0.5045045045045045
0.6965144230769231,0.34523809523809523,0.90625,0.4999999999999999
0.6342147435897436,0.3291139240506329,0.8125,0.46846846846846846
0.7263621794871796,0.36046511627906974,0.96875,0.5254237288135593
0.6828926282051282,0.35802469135802467,0.90625,0.5132743362831858
0.6760817307692307,0.3855421686746988,1.0,0.5565217391304349
0.680889423076923,0.3614457831325301,0.9375,0.5217391304347826
0.7243589743589743,0.36470588235294116,0.96875,0.5299145299145298
0.6814903846153846,0.34146341463414637,0.875,0.4912280701754386
0.6512419871794872,0.35714285714285715,0.9375,0.5172413793103449
0.6732772435897436,0.3488372093023256,0.9375,0.5084745762711865
0.6614583333333333,0.358974358974359,0.875,0.509090909090909
0.6764823717948719,0.345679012345679,0.875,0.4955752212389381
0.7079326923076923,0.3488372093023256,0.9375,0.5084745762711865
0.7267628205128205,0.38095238095238093,1.0,0.5517241379310345
0.7379807692307693,0.36470588235294116,0.96875,0.5299145299145298
0.6987179487179488,0.375,0.9375,0.5357142857142857
0.6560496794871795,0.375,0.9375,0.5357142857142857
0.7061298076923076,0.36585365853658536,0.9375,0.5263157894736842
0.647636217948718,0.35802469135802467,0.90625,0.5132743362831858
0.7027243589743589,0.3333333333333333,0.875,0.48275862068965514
0.6877003205128205,0.38461538461538464,0.9375,0.5454545454545454
0.6899038461538461,0.38271604938271603,0.96875,0.5486725663716814
0.664463141025641,0.35294117647058826,0.9375,0.5128205128205129
0.6931089743589743,0.3488372093023256,0.9375,0.5084745762711865
0.6354166666666667,0.37349397590361444,0.96875,0.5391304347826087
0.6991185897435898,0.36585365853658536,0.9375,0.5263157894736842
0.6374198717948717,0.3411764705882353,0.90625,0.4957264957264957
0.6997195512820513,0.3780487804878049,0.96875,0.543859649122807
0.6678685897435898,0.36470588235294116,0.96875,0.5299145299145298
0.6598557692307692,0.3372093023255814,0.90625,0.49152542372881364
0.6856971153846154,0.375,0.9375,0.5357142857142857
0.6724759615384616,0.32558139534883723,0.875,0.47457627118644063
0.702724358974359,0.35294117647058826,0.9375,0.5128205128205129
0.7113381410256411,0.35,0.875,0.4999999999999999
0.7271634615384616,0.38961038961038963,0.9375,0.5504587155963303
0.7287660256410255,0.36585365853658536,0.9375,0.5263157894736842
0.6620592948717948,0.3717948717948718,0.90625,0.5272727272727273
0.6973157051282052,0.35714285714285715,0.9375,0.5172413793103449
0.6780849358974359,0.36904761904761907,0.96875,0.5344827586206897
0.6586538461538461,0.379746835443038,0.9375,0.5405405405405406
0.6885016025641026,0.36585365853658536,0.9375,0.5263157894736842
0.6748798076923077,0.3563218390804598,0.96875,0.5210084033613446
0.6899038461538461,0.3614457831325301,0.9375,0.5217391304347826
0.6316105769230769,0.3333333333333333,0.84375,0.4778761061946903
0.6784855769230769,0.3625,0.90625,0.5178571428571428
0.7361778846153847,0.37349397590361444,0.96875,0.5391304347826087
0.6881009615384616,0.34523809523809523,0.90625,0.4999999999999999
0.6328125,0.35365853658536583,0.90625,0.5087719298245614
0.6540464743589743,0.3333333333333333,0.90625,0.48739495798319327
0.7045272435897436,0.3614457831325301,0.9375,0.5217391304347826
0.7149439102564102,0.375,0.9375,0.5357142857142857
0.642227564102564,0.375,0.9375,0.5357142857142857
0.6879006410256411,0.35294117647058826,0.9375,0.5128205128205129
0.6838942307692308,0.375,0.9375,0.5357142857142857
0.6840945512820512,0.3333333333333333,0.9375,0.49180327868852464
0.6724759615384616,0.35714285714285715,0.9375,0.5172413793103449
0.7205528846153846,0.38271604938271603,0.96875,0.5486725663716814
0.7029246794871795,0.3875,0.96875,0.5535714285714286
0.6672676282051282,0.37037037037037035,0.9375,0.5309734513274337
0.6584535256410255,0.35802469135802467,0.90625,0.5132743362831858
0.6874999999999999,0.36585365853658536,0.9375,0.5263157894736842
0.7059294871794872,0.36904761904761907,0.96875,0.5344827586206897
0.6772836538461539,0.34523809523809523,0.90625,0.4999999999999999
0.6302083333333333,0.3409090909090909,0.9375,0.5
0.703125,0.35,0.875,0.4999999999999999
0.7315705128205128,0.36470588235294116,0.96875,0.5299145299145298
0.6672676282051283,0.3409090909090909,0.9375,0.5
0.6891025641025641,0.34177215189873417,0.84375,0.48648648648648646
0.6328125,0.35365853658536583,0.90625,0.5087719298245614
0.7113381410256411,0.36046511627906974,0.96875,0.5254237288135593
0.6842948717948718,0.36046511627906974,0.96875,0.5254237288135593
0.7241586538461539,0.3780487804878049,0.96875,0.543859649122807
0.6782852564102564,0.36904761904761907,0.96875,0.5344827586206897
0.6524439102564104,0.35,0.875,0.4999999999999999
0.6322115384615385,0.3493975903614458,0.90625,0.5043478260869566
0.7029246794871794,0.36470588235294116,0.96875,0.5299145299145298
0.6997195512820513,0.3780487804878049,0.96875,0.543859649122807
0.5935496794871795,0.3411764705882353,0.90625,0.4957264957264957
0.670673076923077,0.3333333333333333,0.875,0.48275862068965514
0.6959134615384615,0.3411764705882353,0.90625,0.4957264957264957
0.6782852564102564,0.35365853658536583,0.90625,0.5087719298245614
0.6274038461538461,0.32098765432098764,0.8125,0.4601769911504424
0.625,0.3125,0.78125,0.44642857142857145
0.6772836538461537,0.3670886075949367,0.90625,0.5225225225225225
0.7159455128205129,0.38271604938271603,0.96875,0.5486725663716814
0.6881009615384616,0.3670886075949367,0.90625,0.5225225225225225
0.6770833333333333,0.36470588235294116,0.96875,0.5299145299145298
0.6840945512820513,0.35365853658536583,0.90625,0.5087719298245614
0.7047275641025641,0.36585365853658536,0.9375,0.5263157894736842
