normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance
-2.546223,-0.835561785,-1.227873105,-0.2675020312499999
-2.2178919775000003,-0.1184552472499999,-1.0334213,-0.4557542609999999
-2.631721815,-0.56396183125,-0.9279794,-0.73303407825
-0.4957899872499999,-0.6264501315000001,-1.572940455,-2.1456647325
-2.0120175975,-1.30757745,-1.59047349,-2.17916543
-0.5802940785,-0.78238753875,-1.3939350425,0.08113112
-0.9108522725,-0.7246777815,-1.5160329625,-2.0961992325
-2.5737895925,-1.16421078,0.1444776745,-2.183090875
-0.0221724498,0.12814454775,-1.3129608,-1.99558954
-0.51151215025,-1.862296825,-2.1697271925,-0.90302094075
-1.8732024,0.12343020615,-1.3846425325,-0.612543335
-0.0657976109999999,-0.16696789725,-2.03229532,-2.7916470575
-0.0275987841999999,-1.0396512425,-1.243137075,-3.2211929125000003
-1.99924494,-1.4519323525,-1.9930420025,-2.6209295
-0.34190550675,-1.1008553975000002,-1.47479103,0.174776541
-0.8461940775,-1.7624139,0.332540703,-0.2427959595
-2.97292317,-1.3301779675,0.6163802235,-2.2082713825
-2.3120434,-0.8591799435,0.3341601475,-3.0562844875
-1.266973815,-0.05258910005,-1.6036555999999995,-2.4611174250000003
-0.62544081625,-1.9176408175,-1.243137075,-0.1772094852499999
-0.50265806675,-1.34876175,-1.8580262725,-2.570722045
-1.37064445,-1.288920655,-1.7321142475,-2.95209482
-1.930705305,-0.246059087,-1.25844042,0.1923158165
-0.26970677075,0.1425274855,-1.83294828,-2.77977924
-1.7939066675,0.12881047125,0.67402594875,-2.66331139
-0.3278862562499999,-1.4036160375,0.814934921,-1.9540208075
-2.0214274825,-1.0432947199999998,-1.4008792775,-2.0285167275
-1.09528773,-1.2806949275,-1.801797685,-2.968629805
-1.80446704,-1.537173885,0.6892087800000001,-2.7819778675
-2.111831335,-1.8417843125,0.5511171,-1.6586913175
