name,longitude,latitude,age,normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance,cu_mt
['Julcani'],-74.8,-12.9412,9.7,11.2701197074526,52.91904067993164,33.7857059596522,6.351188455524331,0.0
['Yanacocha'],-78.515278,-6.986111,9.7,12.603379036083656,28.948686599731445,15.813605540254189,32.52568857777341,0.0
['Chaucha'],-79.4166666666667,-2.95,9.71,11.81694397571919,29.63037872314453,19.865818938976872,58.87481468482914,1.452
['Lagunillas'],-70.333367,-32.605833,10.0,12.976183056143352,56.263973236083984,18.94364948267136,2.9709764976113138,4.05
['Alto  Dorado'],-78.1833333333333,-8.16666666666667,10.0,12.48987558009091,29.065460205078125,18.066114352131976,24.81861358964764,0.051
['San Juan de Lucanas'],-74.20389,-14.66583,10.0,10.761544190211286,56.44987869262695,37.74758700632798,17.610168537591328,0.0
['San Salvador de Patillani'],-70.9916666666667,-15.625,10.0,11.452560569582902,59.38197326660156,33.27815898152334,21.313159926863527,0.44
['Antamina'],-77.05,-9.53,10.02,12.208248908713758,45.01044464111328,23.243459896029748,15.918302888095434,7.897
['Shila'],-72.0998,-15.4,10.8,8.097913863456913,60.63481140136719,40.07685073501942,19.310478134609,0.0
['El Volcán'],-69.169136,-27.380991,11.0,10.13385063670584,71.26673126220703,14.64026814058522,2.014929359742037,0.0
['Altar'],-70.28,-31.48,11.13,9.944027886206667,63.88510894775391,15.980414201332366,0.4517565156808172,3.4825
['Diente Verde'],-66.0,-32.8333,11.2,9.903728692351589,59.20472717285156,16.012616949119263,2.2733234236313247,0.03
['Vizcachitas'],-70.431,-32.378,11.2,9.903728692351589,63.88510894775391,16.012616949119263,1.3565060909121784,5.08464
['Sipán'],-78.78,-6.92,11.2,9.861722560174057,28.836917877197266,18.319163014458454,0.0,0.0
['Arroyo  Chita'],-69.55,-30.4166,11.7,10.401603604294904,64.36754608154297,23.3892868053842,4.272498323570066,1.9812000000000003
['Veladero'],-69.95,-29.36,11.7,10.44892152266361,66.625732421875,23.37533744878492,8.876236138781206,0.0
['Marcapunta-Colquijirca'],-76.271861,-10.752972,11.75,10.726659365027755,54.79119110107422,23.77819327281012,4.952810734463288,1.5499999999999998
['Tantahuatay'],-78.6694444444445,-6.72527777777778,12.4,11.386421554671829,31.70908164978028,11.077875675478936,0.0,2.9625
['Tres Chorreras'],-79.533334,-3.1666667,12.84,12.187516868540255,37.048919677734375,25.399360419718704,0.0,0.05
['Lobo'],-69.03,-27.23,12.9,12.297921600783452,69.49606323242188,21.304660192192927,2.038788158272971,0.7424
['Quicay II'],-76.391597,-10.698211,13.0,12.894907868610304,57.51359176635742,19.53751583174125,4.607175817020606,3.5
['Los Helados'],-69.5857,-28.3408,13.13,11.821218585471463,68.07984924316406,25.571068983057742,6.509495473375085,6.06
['Cerro  Corona'],-78.6,-6.76,13.4,13.53173197154386,35.04795455932617,6.767502089365038,0.0,0.9
['Chungar'],-76.54,-11.12,13.4,12.894907868610304,57.51359176635742,19.53751583174125,2.6134804790203647,0.0424
['Poracota'],-72.501259,-15.233039,13.7,13.245138019426712,78.02571868896484,30.345701052502072,16.951128471946813,0.0
['La Granja'],-79.1194444444444,-6.35833333333333,13.8,14.96035778808177,36.42081832885742,5.961912316732793,24.7514731592988,19.250000000000004
['Cerro  Casale'],-69.2333333333333,-27.7833333333333,13.89,13.919067962046585,67.13286590576172,22.91260942166388,1.8046155613637007,4.4975
['Betito'],-67.9,-26.3,14.0,14.238062383670105,71.11674499511719,20.22810185405737,2.988691800854564,0.0117234
['Paramillos  Sur'],-69.0833,-32.4666,14.0,14.374688381200862,61.95050811767578,15.240407842725348,0.5619024739712425,0.9911
['Dos  Hermanos'],-69.7216666666667,-18.29,14.0,15.100111378540284,74.5238037109375,9.902242380306731,14.96135586067568,0.05
['Maricunga'],-69.296347,-27.55155,14.0,13.919067962046585,67.13286590576172,22.91260942166388,1.2786395057047657,0.0
['Cerro de Pasco'],-76.27,-10.78,14.35,14.489988127910404,59.760009765625,18.502858062892088,3.973882276623769,1.5
['Colpayoc'],-78.618802,-7.140859,14.5,14.88110258219914,36.47777557373047,9.57152450600799,21.074353334830057,0.0
['Pierina'],-77.59,-9.45,14.5,14.582244339313643,57.52531433105469,16.565559227366705,10.22360618328591,0.0
['Pashpap'],-77.99583333333334,-8.788611111111111,14.7,13.669483838583208,58.22882843017578,18.2272005313284,14.265648720277254,0.6372
['Cañariaco'],-79.2833333333333,-6.08333333333333,15.0,13.874270799304115,37.365482330322266,9.958712839302564,28.085548871512447,4.012
['Orcopampa'],-72.331553,-15.274652,15.0,12.789912393150315,77.03070068359375,32.51732665739537,18.86826388477288,0.0
['Salpo-Milluachaqui'],-78.6,-7.99167,15.0,13.821161501819406,57.08629608154297,15.414555767613308,18.33681903500073,0.0
['Magistral'],-77.77166666666666,-8.215555555555556,15.3,13.669483838583208,58.22882843017578,18.2272005313284,17.19310061595424,1.85742
['Inca  Viejo'],-66.75,-25.15,15.4,14.913166576941586,75.47478485107422,17.124250350970797,0.096826637019167,0.225
['Pancho  Arias'],-65.833,-24.266,15.4,15.006324459467688,82.75333404541016,15.24405741325107,0.9949770228070218,0.45
['Algamarca'],-78.26,-7.61,15.5,13.325344534857232,39.18828201293945,19.582215873570973,18.865484771090514,0.03
['Portovelo-Zaruma'],-79.616666,-3.733333,15.5,12.917332026953313,40.472991943359375,14.889921154969812,42.27293200903516,0.0819
['La Zanja'],-78.900278,-6.827778,15.6,13.418910391473682,38.81345748901367,14.447046186380945,23.58856781984336,0.0
['Minas  Conga'],-78.365833,-6.9141944,15.7,13.344379130127033,38.81345748901367,18.088947845306464,23.066782656585044,2.2182
['Paramillos  Norte'],-69.0833333333333,-32.3,16.0,16.862606192791322,61.31417083740234,8.227310301091961,54.81359282949196,1.0788
['Cerro Maricunga'],-69.208173,-27.007707,16.0,16.00701913822831,70.43994140625,15.690454027421168,14.00322984332284,0.0
['Rio Blanco'],-79.3083333333333,-4.94444444444444,11.27,9.917849097756164,31.52656936645508,13.342986210569308,0.0,7.164899999999999
['Shahuindo'],-78.212778,-7.611666,16.0,13.325344534857232,39.18828201293945,19.582215873570973,18.85542540640988,0.0
['La Virgen'],-78.073525,-7.980863,16.94,13.310812389363042,54.09293746948242,20.795744333995216,11.923865269163564,0.0
